ris rrc04 update 1446789125 valid A 192.65.185.247 34781 {'next-hop': '192.65.185.247', 'prefix': '1.9.177.0/24', 'as-path': '34781 9498'}
ris rrc04 update 1446789125 valid A 192.65.185.247 34781 {'next-hop': '192.65.185.247', 'prefix': '1.9.0.0/16', 'as-path': '34781 9498'}
ris rrc04 update 1446789125 valid A 192.65.185.247 34781 {'next-hop': '192.65.185.247', 'prefix': '1.4.192.0/19', 'as-path': '34781 9498'}
ris rrc04 update 1446789125 valid A 192.65.185.247 34781 {'next-hop': '192.65.185.247', 'prefix': '1.4.192.0/18', 'as-path': '34781 9498'}
ris rrc04 update 1446789125 valid A 192.65.185.247 34781 {'next-hop': '192.65.185.247', 'prefix': '1.4.128.0/17', 'as-path': '34781 9498'}
routeviews route-views.sfmix update 1446789125 valid A 206.197.187.10 14061 {'next-hop': '206.197.187.10', 'prefix': '1.4.192.0/19', 'as-path': '14061 9498'}
routeviews route-views.sfmix update 1446789125 valid A 206.197.187.10 14061 {'next-hop': '206.197.187.10', 'prefix': '1.4.192.0/18', 'as-path': '14061 9498'}
routeviews route-views.sfmix update 1446789125 valid A 206.197.187.10 14061 {'next-hop': '206.197.187.10', 'prefix': '1.4.128.0/17', 'as-path': '14061 9498'}
routeviews route-views.perth update 1446789125 valid A 198.32.212.11 24516 {'next-hop': '198.32.212.11', 'prefix': '1.4.128.0/17', 'as-path': '24516 9498'}
routeviews route-views.perth update 1446789125 valid A 198.32.212.11 24516 {'next-hop': '198.32.212.11', 'prefix': '1.4.192.0/19', 'as-path': '24516 9498'}
routeviews route-views.perth update 1446789125 valid A 198.32.212.11 24516 {'next-hop': '198.32.212.11', 'prefix': '1.4.192.0/18', 'as-path': '24516 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.159 24482 {'next-hop': '202.79.197.40', 'prefix': '1.4.128.0/17', 'as-path': '24482 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.159 24482 {'next-hop': '202.79.197.40', 'prefix': '1.4.192.0/18', 'as-path': '24482 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.159 24482 {'next-hop': '202.79.197.40', 'prefix': '1.9.0.0/16', 'as-path': '24482 9498'}
routeviews route-views.sg update 1446789125 valid A 202.79.197.159 24482 {'next-hop': '202.79.197.40', 'prefix': '1.4.192.0/19', 'as-path': '24482 9498'}
