ris rrc03 update 1455229279 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.92.16.0/21', 'as-path': '8283 5580 8001'}
ris rrc01 update 1455229279 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229279 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.92.16.0/21', 'as-path': '8283 1299 8001'}
ris rrc01 update 1455229279 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229279 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.92.16.0/21', 'as-path': '8283 5580 8001'}
ris rrc03 update 1455229279 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.239.8.0/21', 'as-path': '8283 5580 8001'}
ris rrc03 update 1455229279 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.92.16.0/21', 'as-path': '8283 1299 8001'}
ris rrc01 update 1455229280 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229280 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.239.8.0/21', 'as-path': '8283 1299 8001'}
ris rrc01 update 1455229280 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229284 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '50.116.48.0/20', 'as-path': '8283 5580 8001'}
ris rrc03 update 1455229284 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '50.116.48.0/20', 'as-path': '8283 1299 8001'}
ris rrc03 update 1455229285 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '50.116.48.0/20', 'as-path': '8283 5580 8001'}
ris rrc01 update 1455229285 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '50.116.48.0/20', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229285 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '50.116.48.0/20', 'as-path': '8283 1299 8001'}
ris rrc01 update 1455229285 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '50.116.48.0/20', 'as-path': '286 1299 8001'}
ris rrc03 update 1455229286 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.239.8.0/21', 'as-path': '8283 5580 8001'}
ris rrc03 update 1455229286 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.239.8.0/21', 'as-path': '8283 1299 8001'}
ris rrc03 update 1455229286 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.239.8.0/21', 'as-path': '8283 5580 8001'}
ris rrc03 update 1455229286 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '23.92.16.0/21', 'as-path': '8283 5580 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 1299 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 1299 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 1299 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 1299 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 3257 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 3257 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.92.16.0/21', 'as-path': '286 3257 8001'}
ris rrc01 update 1455229287 valid A 195.66.224.54 286 {'next-hop': '195.66.224.54', 'prefix': '23.239.8.0/21', 'as-path': '286 3257 8001'}
ris rrc03 update 1455229289 valid A 80.249.211.161 8283 {'next-hop': '80.249.211.161', 'prefix': '66.228.32.0/20', 'as-path': '8283 5580 8001'
