3       | 128.31.0.34      | 128.30.0.0/15       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 128.52.128.105   | 128.52.0.0/16       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.102.228.10    | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.125.1.222     | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.181.5.37      | 18.181.0.0/20       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.238.1.85      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.238.2.85      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.0.86       | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.0.94       | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.3.136      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.3.196      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.3.205      | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
9       | 128.237.157.114  | 128.237.0.0/16      | US | arin     |            | CMU-ROUTER - Carnegie Mellon University,US
9       | 204.194.29.4     | 204.194.28.0/22     | US | arin     |            | CMU-ROUTER - Carnegie Mellon University,US
14      | 128.59.18.121    | 128.59.0.0/16       | US | arin     |            | COLUMBIA-GW - Columbia University,US
14      | 160.39.15.244    | 160.39.0.0/16       | US | arin     |            | COLUMBIA-GW - Columbia University,US
17      | 128.210.3.225    | 128.210.0.0/16      | US | arin     |            | PURDUE - Purdue University,US
29      | 130.132.177.126  | 130.132.0.0/16      | US | arin     |            | YALE-AS - Yale University,US
31      | 131.215.172.214  | 131.215.0.0/16      | US | arin     |            | CIT - California Institute of Technology,US
32      | 128.12.177.59    | 128.12.0.0/16       | US | arin     |            | STANFORD - Stanford University,US
55      | 158.130.0.242    | 158.130.0.0/16      | US | arin     |            | UPENN - University of Pennsylvania,US
55      | 165.123.150.179  | 165.123.0.0/16      | US | arin     |            | UPENN - University of Pennsylvania,US
73      | 128.208.2.233    | 128.208.0.0/16      | US | arin     |            | WASHINGTON-AS - University of Washington,US
111     | 204.8.156.142    | 204.8.152.0/21      | US | arin     | 2004-07-27 | BOSTONU-AS - Boston University,US
137     | 149.132.5.189    | 149.132.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 150.145.1.88     | 150.145.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
137     | 160.97.47.30     | 160.97.0.0/16       | IT | ripencc  | 2004-04-05 | ASGARR Consortium GARR,IT
156     | 129.10.115.97    | 129.10.64.0/18      | US | arin     |            | NORTHEASTERN-GW-AS - Northeastern University,US
167     | 129.133.8.31     | 129.133.8.0/24      | US | arin     |            | WESLEYAN-AS - Wesleyan University,US
174     | 107.150.24.125   | 107.150.24.0/24     | US | arin     | 2013-12-03 | COGENT-174 - Cogent Communications,US
174     | 170.75.162.163   | 170.75.160.0/20     | CA | arin     | 2014-06-11 | COGENT-174 - Cogent Communications,US
174     | 170.75.162.81    | 170.75.160.0/20     | CA | arin     | 2014-06-11 | COGENT-174 - Cogent Communications,US
174     | 170.75.162.87    | 170.75.160.0/20     | CA | arin     | 2014-06-11 | COGENT-174 - Cogent Communications,US
174     | 170.75.163.116   | 170.75.160.0/20     | CA | arin     | 2014-06-11 | COGENT-174 - Cogent Communications,US
174     | 38.126.114.9     | 38.0.0.0/8          | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 38.77.19.37      | 38.77.16.0/21       | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 50.7.115.12      | 50.7.115.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.188     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.238     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.238     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.240     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.240     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.243     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.243     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.246     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.246     | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.151.32      | 50.7.148.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.151.47      | 50.7.148.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.161.218     | 50.7.160.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.184.58      | 50.7.184.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 74.221.223.158   | 74.221.223.0/24     | US | arin     | 2011-08-02 | COGENT-174 - Cogent Communications,US
209     | 168.103.195.250  | 168.103.0.0/16      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 174.24.250.145   | 174.16.0.0/12       | US | arin     | 2009-02-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 174.26.242.174   | 174.16.0.0/12       | US | arin     | 2009-02-17 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 184.100.241.24   | 184.96.0.0/13       | US | arin     | 2010-04-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 184.96.7.171     | 184.96.0.0/13       | US | arin     | 2010-04-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 198.233.204.165  | 198.233.0.0/16      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 205.168.84.133   | 205.168.0.0/14      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 209.180.247.49   | 209.180.0.0/15      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 65.102.178.215   | 65.100.0.0/14       | US | arin     | 2001-01-03 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
