Bulk mode; whois.cymru.com [2015-11-20 16:36:36 +0000]
3       | 128.52.128.0     | 128.52.0.0/16       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.125.1.0       | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.181.5.0       | 18.181.0.0/20       | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.238.2.0       | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
3       | 18.82.3.0        | 18.0.0.0/8          | US | arin     |            | MIT-GATEWAYS - Massachusetts Institute of Technology,US
9       | 204.194.29.0     | 204.194.28.0/22     | US | arin     |            | CMU-ROUTER - Carnegie Mellon University,US
31      | 131.215.172.0    | 131.215.0.0/16      | US | arin     |            | CIT - California Institute of Technology,US
32      | 128.12.177.0     | 128.12.0.0/16       | US | arin     |            | STANFORD - Stanford University,US
55      | 158.130.0.0      | 158.130.0.0/16      | US | arin     |            | UPENN - University of Pennsylvania,US
73      | 128.208.2.0      | 128.208.0.0/16      | US | arin     |            | WASHINGTON-AS - University of Washington,US
111     | 204.8.156.0      | 204.8.152.0/21      | US | arin     | 2004-07-27 | BOSTONU-AS - Boston University,US
137     | 150.145.1.0      | 150.145.0.0/16      | IT | ripencc  |            | ASGARR Consortium GARR,IT
174     | 154.46.204.0     | 154.46.204.0/23     | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 154.59.112.0     | 154.59.112.0/23     | US | arin     |            | COGENT-174 - Cogent Communications,US
174     | 170.75.162.0     | 170.75.160.0/20     | CA | arin     | 2014-06-11 | COGENT-174 - Cogent Communications,US
174     | 50.7.115.0       | 50.7.115.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.124.0       | 50.7.124.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.139.0       | 50.7.136.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.151.0       | 50.7.148.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.161.0       | 50.7.160.0/22       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
174     | 50.7.184.0       | 50.7.184.0/24       | US | arin     | 2010-10-18 | COGENT-174 - Cogent Communications,US
209     | 184.100.208.0    | 184.96.0.0/13       | US | arin     | 2010-04-06 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 205.168.84.0     | 205.168.0.0/14      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 209.180.247.0    | 209.180.0.0/15      | US | arin     |            | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
209     | 65.129.157.0     | 65.128.0.0/11       | US | arin     | 2000-08-23 | CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC,US
224     | 128.39.8.0       | 128.39.0.0/16       | NO | ripencc  | 2004-04-05 | UNINETT UNINETT, The Norwegian University & Research Network,NO
250     | 194.150.168.0    | 194.150.168.0/23    | DE | ripencc  | 2004-09-15 | SACREDCHAO-AS AS250.net Foundation,DE
286     | 145.133.5.0      | 145.133.0.0/16      | NL | ripencc  |            | KPN KPN International / KPN Eurorings,NL
553     | 132.230.150.0    | 132.230.0.0/16      | DE | ripencc  |            | BELWUE Universitaet Stuttgart,DE
577     | 69.159.110.0     | 69.159.0.0/16       | CA | arin     | 2003-11-25 | BACOM - Bell Canada,CA
680     | 131.188.40.0     | 131.188.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 131.220.141.0    | 131.220.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 134.102.200.0    | 134.102.0.0/16      | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 139.18.25.0      | 139.18.0.0/15       | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 141.20.33.0      | 141.20.0.0/16       | DE | ripencc  |            | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
680     | 212.201.68.0     | 212.201.0.0/16      | DE | ripencc  | 2000-08-08 | DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE
701     | 100.0.124.0      | 100.0.0.0/16        | US | arin     | 2010-12-28 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.18.109.0     | 108.18.0.0/16       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.26.148.0     | 108.26.128.0/17     | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.26.226.0     | 108.26.128.0/17     | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.31.40.0      | 108.31.0.0/16       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.42.75.0      | 108.42.0.0/16       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.45.93.0      | 108.45.0.0/16       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.48.11.0      | 108.48.0.0/13       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 108.53.208.0     | 108.53.0.0/16       | US | arin     | 2009-06-05 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 173.56.213.0     | 173.56.0.0/16       | US | arin     | 2008-10-09 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 71.163.40.0      | 71.163.0.0/16       | US | arin     | 2005-06-01 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 71.165.151.0     | 71.165.0.0/16       | US | arin     | 2005-06-01 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 71.168.174.0     | 71.168.128.0/17     | US | arin     | 2005-06-01 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 71.252.137.0     | 71.252.128.0/17     | US | arin     | 2004-11-09 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
701     | 98.114.2.0       | 98.114.0.0/16       | US | arin     | 2008-04-02 | UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US
719     | 91.158.106.0     | 91.152.0.0/13       | FI | ripencc  | 2006-09-06 | ELISA-AS Elisa Oyj,FI
1101    | 145.220.0.0      | 145.220.0.0/16      | NL | ripencc  |            | IP-EEND-AS IP-EEND BV,NL
1101    | 192.150.94.0     | 192.150.94.0/24     | NL | ripencc  |            | IP-EEND-AS IP-EEND BV,NL
1101    | 192.42.116.0     | 192.42.116.0/22     | NL | ripencc  |            | IP-EEND-AS IP-EEND BV,NL
1102    | 192.87.28.0      | 192.87.28.0/24      | NL | ripencc  |            | SMEERBOEL-AS SMEERBOEL BV,EU
1102    | 194.104.0.0      | 194.104.0.0/24      | NL | ripencc  |            | SMEERBOEL-AS SMEERBOEL BV,EU
1103    | 192.42.113.0     | 192.42.113.0/24     | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1103    | 192.42.115.0     | 192.42.115.0/24     | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1103    | 194.171.57.0     | 194.171.57.0/24     | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1103    | 195.169.125.0    | 195.169.125.0/24    | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1103    | 195.169.196.0    | 195.169.192.0/19    | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1103    | 195.169.216.0    | 195.169.192.0/19    | NL | ripencc  |            | SURFNET-NL SURFnet, The Netherlands,NL
1136    | 145.133.5.0      | 145.133.0.0/16      | NL | ripencc  |            | KPN KPN Internet Solutions,NL
1312    | 128.173.55.0     | 128.173.0.0/16      | US | arin     |            | VA-TECH-AS - Virginia Polytechnic Institute and State Univ.,US
1426    | 199.68.196.0     | 199.68.196.0/22     | US | arin     | 2011-01-10 | LIGHTWAVENET - Lightwave Networking, LLC,US
1547    | 37.26.142.0      | 37.26.128.0/20      | MD | ripencc  | 2011-12-27 | IDK-NETWORK JSCC Interdnestrcom,MD
1610    | 199.102.167.0    | 199.102.167.0/24    | US | arin     | 2011-03-09 | CONTE-25-ASN - Contegix,US
1653    | 193.11.114.0     | 193.11.0.0/16       | SE | ripencc  |            | SUNET SUNET Swedish University Network,SE
1653    | 193.11.164.0     | 193.11.0.0/16       | SE | ripencc  |            | SUNET SUNET Swedish University Network,SE
1653    | 193.11.166.0     | 193.11.0.0/16       | SE | ripencc  |            | SUNET SUNET Swedish University Network,SE
1659    | 163.22.17.0      | 163.16.0.0/13       | TW | apnic    |            | ERX-TANET-ASN1 Taiwan Academic Network (TANet) Information Center,TW
1739    | 130.230.141.0    | 130.230.0.0/16      | FI | ripencc  |            | TUTNET TUT Autonomous System,FI
1759    | 84.249.199.0     | 84.248.0.0/14       | FI | ripencc  | 2004-06-02 | TSF-IP-CORE TeliaSonera Finland Oyj,FI
1851    | 129.127.254.0    | 129.127.0.0/16      | AU | apnic    |            | ADELAIDE-UNIVERSITY-AS-AP The University of Adelaide,AU
1853    | 193.171.202.0    | 193.170.0.0/15      | AT | ripencc  |            | ACONET ACOnet Backbone,AT
1955    | 193.6.222.0      | 193.6.0.0/16        | HU | ripencc  |            | HBONE-AS HUNGARNET,HU
2108    | 161.53.160.0     | 161.53.0.0/16       | HR | ripencc  |            | CARNET-AS Croatian Academic and Research Network,HR
2116    | 193.90.12.0      | 193.90.0.0/16       | NO | ripencc  |            | ASN-CATCHCOM Broadnet AS,NO
2116    | 31.185.27.0      | 31.185.24.0/21      | NO | ripencc  | 2011-03-15 | ASN-CATCHCOM Broadnet AS,NO
2119    | 213.113.244.0    | 213.112.0.0/14      | SE | ripencc  | 2000-12-15 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 213.113.54.0     | 213.112.0.0/14      | SE | ripencc  | 2000-12-15 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 46.9.195.0       | 46.9.0.0/16         | NO | ripencc  | 2010-09-07 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 62.92.111.0      | 62.92.0.0/16        | NO | ripencc  |            | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 84.219.173.0     | 84.216.0.0/14       | SE | ripencc  | 2004-05-24 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 85.226.117.0     | 85.224.0.0/13       | SE | ripencc  | 2004-12-17 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 85.229.150.0     | 85.224.0.0/13       | SE | ripencc  | 2004-12-17 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 85.229.92.0      | 85.224.0.0/13       | SE | ripencc  | 2004-12-17 | TELENOR-NEXTEL Telenor Norge AS,NO
2119    | 85.229.94.0      | 85.224.0.0/13       | SE | ripencc  | 2004-12-17 | TELENOR-NEXTEL Telenor Norge AS,NO
2516    | 106.185.28.0     | 106.185.0.0/17      | JP | apnic    | 2011-03-15 | KDDI KDDI CORPORATION,JP
2516    | 106.185.38.0     | 106.185.0.0/17      | JP | apnic    | 2011-03-15 | KDDI KDDI CORPORATION,JP
2516    | 106.186.28.0     | 106.186.0.0/18      | JP | apnic    | 2011-03-15 | KDDI KDDI CORPORATION,JP
2516    | 106.187.99.0     | 106.187.64.0/18     | JP | apnic    | 2011-03-15 | KDDI KDDI CORPORATION,JP
2516    | 175.135.65.0     | 175.135.0.0/16      | JP | apnic    | 2010-01-07 | KDDI KDDI CORPORATION,JP
2603    | 109.105.109.0    | 109.105.96.0/20     | SE | ripencc  | 2009-09-15 | NORDUNET NORDUnet,NO
2607    | 147.175.187.0    | 147.175.0.0/16      | SK | ripencc  |            | SANET Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,SK
2734    | 162.213.1.0      | 162.213.1.0/24      | US | arin     | 2013-05-29 | CORESITE - CoreSite,US
2828    | 209.119.188.0    | 209.116.0.0/14      | US | arin     | 2001-01-02 | XO-AS15 - XO Communications,US
2856    | 217.34.135.0     | 217.32.0.0/12       | GB | ripencc  | 2000-09-20 | BT-UK-AS BT Public Internet Service,GB
2856    | 217.37.19.0      | 217.32.0.0/12       | GB | ripencc  | 2000-09-20 | BT-UK-AS BT Public Internet Service,GB
2856    | 86.137.49.0      | 86.128.0.0/12       | GB | ripencc  | 2005-02-07 | BT-UK-AS BT Public Internet Service,GB
2856    | 86.155.41.0      | 86.128.0.0/11       | GB | ripencc  | 2005-02-07 | BT-UK-AS BT Public Internet Service,GB
2856    | 86.161.85.0      | 86.128.0.0/10       | GB | ripencc  | 2005-02-07 | BT-UK-AS BT Public Internet Service,GB
3209    | 188.99.57.0      | 188.96.0.0/12       | DE | ripencc  | 2009-01-20 | VODANET Vodafone GmbH,DE
3209    | 88.76.18.0       | 88.64.0.0/12        | DE | ripencc  | 2005-08-15 | VODANET Vodafone GmbH,DE
3209    | 92.209.180.0     | 92.208.0.0/14       | DE | ripencc  | 2007-10-17 | VODANET Vodafone GmbH,DE
3209    | 92.78.246.0      | 92.72.0.0/13        | DE | ripencc  | 2007-07-27 | VODANET Vodafone GmbH,DE
3215    | 80.12.94.0       | 80.12.80.0/20       | FR | ripencc  | 2001-05-03 | AS3215 Orange S.A.,FR
3215    | 86.210.50.0      | 86.210.0.0/16       | FR | ripencc  | 2005-03-02 | AS3215 Orange S.A.,FR
3215    | 90.12.4.0        | 90.12.0.0/16        | FR | ripencc  | 2006-03-02 | AS3215 Orange S.A.,FR
3215    | 90.53.119.0      | 90.53.0.0/16        | FR | ripencc  | 2006-03-02 | AS3215 Orange S.A.,FR
3215    | 90.58.48.0       | 90.58.0.0/16        | FR | ripencc  | 2006-03-02 | AS3215 Orange S.A.,FR
3216    | 195.46.185.0     | 195.46.160.0/19     | RU | ripencc  |            | SOVAM-AS OJSC _Vimpelcom_,RU
3216    | 62.141.120.0     | 62.141.112.0/20     | RU | ripencc  | 2001-09-11 | SOVAM-AS OJSC _Vimpelcom_,RU
3221    | 193.40.252.0     | 193.40.0.0/16       | EE | ripencc  |            | EENET-AS Hariduse Infotehnoloogia Sihtasutus,EE
3223    | 109.163.234.0    | 109.163.234.0/23    | RO | ripencc  | 2011-09-16 | VOXILITY Voxility S.R.L.,RO
3223    | 109.163.235.0    | 109.163.234.0/23    | RO | ripencc  | 2011-09-16 | VOXILITY Voxility S.R.L.,RO
3223    | 185.72.176.0     | 185.72.176.0/24     | RO | ripencc  | 2014-10-08 | VOXILITY Voxility S.R.L.,RO
3223    | 198.251.86.0     | 198.251.86.0/24     | US | arin     | 2013-02-13 | VOXILITY Voxility S.R.L.,RO
3223    | 37.221.162.0     | 37.221.160.0/21     | RO | ripencc  | 2012-04-05 | VOXILITY Voxility S.R.L.,RO
3223    | 37.221.171.0     | 37.221.170.0/23     | RO | ripencc  | 2012-04-05 | VOXILITY Voxility S.R.L.,RO
3223    | 93.115.95.0      | 93.115.92.0/22      | RO | ripencc  | 2007-12-21 | VOXILITY Voxility S.R.L.,RO
3242    | 151.1.182.0      | 151.1.128.0/18      | IT | ripencc  |            | ASN-ITNET ITnet S.r.l.,IT
3243    | 85.245.242.0     | 85.240.0.0/13       | PT | ripencc  | 2004-01-03 | MEO-RESIDENCIAL MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,PT
3249    | 84.50.21.0       | 84.50.0.0/16        | EE | ripencc  | 2004-10-06 | ESTPAK AS Eesti Telekom,EE
3254    | 91.219.29.0      | 91.219.29.0/24      | UA | ripencc  | 2010-09-06 | LUCKYNET Lucky Net Ltd,UA
3257    | 213.200.106.0    | 213.200.64.0/18     | IE | ripencc  | 2000-11-14 | TINET-BACKBONE Tinet SpA,DE
3265    | 193.110.157.0    | 193.110.157.0/24    | NL | ripencc  | 2002-02-19 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 212.238.208.0    | 212.238.0.0/16      | NL | ripencc  |            | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 46.23.85.0       | 46.23.80.0/20       | NL | ripencc  | 2010-12-02 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 80.100.250.0     | 80.100.0.0/15       | NL | ripencc  | 2001-07-16 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 80.127.151.0     | 80.126.0.0/15       | NL | ripencc  | 2001-10-11 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 82.94.241.0      | 82.92.0.0/14        | NL | ripencc  | 2003-11-25 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 82.94.251.0      | 82.92.0.0/14        | NL | ripencc  | 2003-11-25 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 83.160.95.0      | 83.160.0.0/14       | NL | ripencc  | 2004-03-03 | XS4ALL-NL XS4ALL Internet BV,NL
3265    | 83.162.202.0     | 83.160.0.0/14       | NL | ripencc  | 2004-03-03 | XS4ALL-NL XS4ALL Internet BV,NL
3292    | 2.111.64.0       | 2.104.0.0/13        | DK | ripencc  | 2010-05-04 | TDC TDC A/S,DK
3292    | 80.198.105.0     | 80.196.0.0/14       | DK | ripencc  | 2002-03-06 | TDC TDC A/S,DK
3301    | 194.218.3.0      | 194.218.0.0/16      | SE | ripencc  |            | TELIANET-SWEDEN TeliaSonera AB,SE
3301    | 217.208.117.0    | 217.208.0.0/13      | SE | ripencc  | 2001-04-02 | TELIANET-SWEDEN TeliaSonera AB,SE
3301    | 78.70.160.0      | 78.64.0.0/12        | SE | ripencc  | 2007-03-09 | TELIANET-SWEDEN TeliaSonera AB,SE
3301    | 90.227.65.0      | 90.224.0.0/12       | SE | ripencc  | 2006-05-30 | TELIANET-SWEDEN TeliaSonera AB,SE
3301    | 90.228.202.0     | 90.224.0.0/12       | SE | ripencc  | 2006-05-30 | TELIANET-SWEDEN TeliaSonera AB,SE
3301    | 90.231.152.0     | 90.224.0.0/12       | SE | ripencc  | 2006-05-30 | TELIANET-SWEDEN TeliaSonera AB,SE
3303    | 83.78.2.0        | 83.78.0.0/15        | CH | ripencc  | 2003-12-10 | SWISSCOM Swisscom (Switzerland) Ltd,CH
